zip,lat,lng,state
02145,42.391046,-71.095146,MA
02148,42.436545,-71.085396,MA
02149,42.407396,-71.051183,MA
02150,42.378197,-71.038894,MA
02151,42.366303,-71.020494,MA
02152,42.378447,-70.981679,MA
02153,42.446396,-71.459405,MA
02155,42.422095,-71.109297,MA
02156,42.446396,-71.459405,MA
02163,42.32532,-71.112159,MA
02169,42.241799,-71.006042,MA
02170,42.267248,-71.016742,MA
02171,42.284898,-71.014243,MA
02176,42.458995,-71.053095,MA
02177,42.446396,-71.459405,MA
02180,42.474595,-71.098146,MA
02184,42.202216,-71.005192,MA
02185,42.180048,-71.08923,MA
02186,42.240598,-71.078494,MA
02187,42.180048,-71.08923,MA
02188,42.20794,-70.95514,MA
02189,42.210649,-70.932318,MA
02190,42.167841,-70.95074,MA
02191,42.251499,-70.94484,MA
02196,42.338947,-70.919635,MA
02199,42.347247,-71.082395,MA
02201,42.338947,-70.919635,MA
02202,42.361094,-71.061814,MA
02203,42.361485,-71.060364,MA
02204,42.338947,-70.919635,MA
02205,42.350334,-71.053877,MA
02206,42.338947,-70.919635,MA
02207,42.338947,-70.919635,MA
02208,42.338947,-70.919635,MA
02209,42.338947,-70.919635,MA
02210,42.347547,-71.040645,MA
02211,42.338947,-70.919635,MA
02212,42.446396,-71.459405,MA
02215,42.345079,-71.107653,MA
02216,42.338947,-70.919635,MA
02217,42.338947,-70.919635,MA
02222,42.364381,-71.063314,MA
02228,42.375,-71.03972,MA
02238,42.446396,-71.459405,MA
02239,42.446396,-71.459405,MA
02241,42.338947,-70.919635,MA
02266,42.338947,-70.919635,MA
02269,42.180048,-71.08923,MA
02283,42.338947,-70.919635,MA
02284,42.338947,-70.919635,MA
02293,42.338947,-70.919635,MA
02295,42.338947,-70.919635,MA
02297,42.338947,-70.919635,MA
02301,42.079399,-71.03999,MA
02302,42.08475,-71.000189,MA
02303,41.970474,-70.701357,MA
02304,41.970474,-70.701357,MA
02305,41.970474,-70.701357,MA
02322,42.126049,-71.048216,MA
02324,41.973741,-70.976558,MA
02325,41.98725,-70.972786,MA
02327,42.040708,-70.827245,MA
02330,41.896238,-70.759689,MA
02331,41.970474,-70.701357,MA
02332,42.052985,-70.710808,MA
02333,42.02285,-70.931056,MA
02334,42.023528,-71.132397,MA
02337,42.022225,-70.931588,MA
02338,41.988351,-70.860578,MA
02339,42.123534,-70.851048,MA
02340,42.123534,-70.851048,MA
02341,42.055701,-70.875936,MA
02343,42.144424,-71.00289,MA
02344,41.970474,-70.701357,MA
02345,41.888198,-70.581029,MA
02346,41.915054,-70.882035,MA
02347,41.843757,-70.959981,MA
02348,41.970474,-70.701357,MA
02349,41.970474,-70.701357,MA
02350,42.018525,-70.847486,MA
02351,42.11749,-70.959888,MA
02355,41.916918,-70.801331,MA
02356,42.053408,-71.12033,MA
02357,42.064499,-71.087091,MA
02358,41.95351,-70.713109,MA
02359,42.065702,-70.800778,MA
02360,41.886207,-70.638717,MA
02361,41.970474,-70.701357,MA
02362,41.970474,-70.701357,MA
02364,41.979405,-70.744813,MA
02366,41.850087,-70.704431,MA
02367,41.96914,-70.812299,MA
02368,42.171467,-71.055602,MA
02370,41.954199,-70.885095,MA
02375,42.023199,-71.111091,MA
02379,42.02165,-71.023588,MA
02381,41.931602,-70.561051,MA
02382,42.0785,-70.940837,MA
02420,42.45631,-71.21665,MA
02421,42.442567,-71.226453,MA
02445,42.318097,-71.143697,MA
02446,42.343097,-71.123046,MA
02447,42.180048,-71.08923,MA
02451,42.398588,-71.24505,MA
02452,42.394319,-71.218049,MA
02453,42.365396,-71.23165,MA
02454,42.356719,-71.250479,MA
02455,42.404644,-71.234086,MA
02456,42.446396,-71.459405,MA
02457,42.180048,-71.08923,MA
02458,42.385096,-71.208399,MA
02459,42.334146,-71.183298,MA
02460,42.374296,-71.182371,MA
02461,42.361196,-71.205349,MA
02462,42.349496,-71.209699,MA
